Date,Amount
2014-12-31,5150.0
2013-12-31,4910.0
2013-12-12,4911.9003489143
2012-12-31,4720.0
2012-12-12,4722.307771276
2011-12-31,4280.0
2011-12-12,4287.1900826446
2010-12-31,4000.0
2010-12-12,4002.6407032172
2009-12-31,3630.0
2009-12-12,3627.8746963627
2008-12-31,3240.0
2008-12-12,3244.2666893588
2007-12-31,2520.0
2006-12-31,2290.0
2005-12-31,1930.0
2004-12-31,1790.0
2003-12-31,1380.0
2002-12-31,960.0
2001-12-31,1020.0
2000-12-31,900.0
1999-12-31,830.0
